,Video Views,Creator Gender,Language of the Video,Video Description,Video Quality,Duration,Premiered or Not,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week)
77,2329284,Org,English,Yes,Medium,long,No,0.011566075993599554,0.004751524362176588,0.0007959183673469388,0.0,0.01782385196155229,0.19648093841642228
78,124158710,Female,English,Yes,Medium,short,No,0.5242463428059491,0.08619746049523952,0.03469387755102041,0.10714285714285714,0.0004261914909321213,0.005865102639296188
79,1462380,Org,English,Yes,Medium,long,No,0.014154542861253137,0.009909892196282293,0.00022448979591836734,0.10714285714285714,0.002038100090714502,0.0
80,295899,Female,English,Yes,Medium,medium,No,0.3178243014614229,0.02790928109057401,0.00022448979591836734,0.0,0.0014071462074909701,0.005865102639296188
81,12616324,Org,English,Yes,Medium,short,No,0.0008354063840229917,0.0013940653968467175,0.002142857142857143,0.0,0.0330929359355617,0.04105571847507331
82,1332084,Org,English,Yes,Medium,medium,No,0.007765289200589229,0.0016165327405936844,0.0008571428571428572,0.0,0.0007857161564670393,0.020527859237536656
83,1303498,Male,English,Yes,Medium,medium,No,0.0026178443283312812,0.004450219467553763,0.00032653061224489796,0.0,0.002121433622461006,0.0
84,408785205,Male,Urdu,Yes,Medium,medium,No,0.04325022106981492,0.04777023704919482,0.0673469387755102,0.0,0.001261907766447063,0.002932551319648094
85,24399,Male,Telugu,Yes,High,medium,No,1.6992138197027192e-05,8.728442633380866e-07,2.2448979591836737e-05,0.03571428571428571,7.142874149700357e-06,0.0
86,1197091,Org,Hindi,Yes,Medium,long,Yes,0.1916774984175457,0.013603213547826174,0.03469387755102041,0.0,0.0007261922052195363,0.03519061583577712
87,455523,Male,English,Yes,Medium,medium,No,0.0014939909921221945,0.0004110320423028042,0.0003469387755102041,0.0,0.00022619101474051132,0.0
88,8408040,Org,English,Yes,Medium,short,No,0.05537342032338234,0.20741050622861854,0.00463265306122449,0.10714285714285714,0.3588008542877483,0.12316715542521994
89,23094616,Female,English,Yes,Medium,short,No,0.5242463428059491,0.08619746049523952,0.014306122448979592,0.0,0.0004261914909321213,0.005865102639296188
90,14687493,Male,English,Yes,Medium,short,No,0.07863685672887656,0.00414375420434815,0.003346938775510204,0.0,0.000480953526079824,0.0
91,1446324,Org,Hindi,Yes,Medium,short,No,0.0008583421663946057,0.0003867628531280887,0.00019387755102040816,0.0,0.000240476763039912,0.0
92,1451,Male,Kannada,Yes,Medium,medium,No,2.9967237938683126e-05,6.8521623000665195e-06,2.489795918367347e-06,0.0,0.00043095340703192155,0.002932551319648094
93,2317708089,Male,English,Yes,Medium,short,No,0.18315849353666047,0.19041916130565292,0.04693877551020408,0.10714285714285714,0.0330929359355617,0.002932551319648094
94,2108733,Org,English,Yes,Medium,medium,No,0.006487438468456448,0.009340129720559226,0.0005102040816326531,0.10714285714285714,0.001485717823137674,0.0
95,291111,Male,English,Yes,High,medium,No,0.0007895348192797637,0.00015258585194854047,0.0002653061224489796,0.10714285714285714,0.0330929359355617,0.002932551319648094
96,745314,Org,English,Yes,Medium,long,No,0.04652676140861693,0.07895457895973723,0.00013877551020408165,0.03571428571428571,0.029883404484296393,0.02346041055718475
97,661,Female,Hindi,Yes,Medium,long,No,9.436436175749771e-07,1.9527955841151944e-07,0.0,0.0,3.0952454648701544e-05,0.0
98,369794,Male,Telugu,Yes,High,long,No,0.0012973985717940743,0.0004560265887805008,0.0008163265306122449,0.0,0.00010238119614570511,0.002932551319648094
99,62367,Male,English,Yes,High,long,No,0.0012875689507776682,0.0009542429570707343,1.573469387755102e-05,0.10714285714285714,0.0014690511167883733,0.0
100,9855561,Org,English,Yes,Medium,medium,No,0.11893830289614121,0.09457223962938423,0.004877551020408164,0.0,0.4434915321226956,0.0
101,1214860,Male,Hindi,Yes,Medium,medium,No,0.02519648380301589,0.044356746201973864,0.0011632653061224491,0.0,0.0028714354081795434,0.0
102,1200,Org,English,Yes,Medium,long,No,0.11893830289614121,0.09457223962938423,5.102040816326531e-07,0.0,0.4434915321226956,0.0
103,4102167,Org,English,Yes,Medium,medium,No,0.005012995315995546,0.0018458956840396287,0.002775510204081633,0.10714285714285714,0.0005023821485289251,0.0
104,3810057,Male,Hindi,Yes,High,medium,No,0.07339439218679336,0.04344321468489789,0.004,0.03571428571428571,0.011095264512534555,0.002932551319648094
105,273883,Male,English,Yes,Medium,short,No,0.13859754492895324,0.16598569795579216,0.0005306122448979592,0.10714285714285714,0.0007666684920678383,0.002932551319648094
106,6459290,Org,English,Yes,Medium,short,No,0.06454773327202795,0.07247477146598703,0.003795918367346939,0.0,0.019190521882194958,0.0
107,4268182,Org,English,Yes,Medium,short,No,0.05733934452666354,0.04663349548853933,0.0037346938775510204,0.0,0.004664296819754333,0.0
108,82985,Org,English,Yes,Medium,short,No,0.035058870222809915,0.04698041274170785,3.061224489795918e-05,0.03571428571428571,0.020307191207598115,0.005865102639296188
109,7829748,Org,Hindi,Yes,Medium,medium,No,0.03702479442609112,0.023846863562481342,0.002857142857142857,0.0,0.0010523834580558524,0.01759530791788856
110,3085,Org,English,Yes,Medium,long,No,1.728702682751937e-05,4.248392913093681e-07,1.1020408163265306e-06,0.0,0.00013571460884430678,0.0
111,494365879,Org,English,Yes,Medium,short,No,0.09927906086332919,0.352539960016438,0.0836734693877551,0.03571428571428571,0.004311915028369115,0.005865102639296188
112,12922204,Org,English,Yes,Medium,medium,No,0.012319680271524015,0.013617451382107619,0.0030204081632653063,0.0,0.0003976199943333199,0.0
113,41095,Male,English,Yes,Medium,medium,No,0.00044877462404435524,0.00016320552006471607,4.6938775510204086e-05,0.0,0.00046904873583032344,0.002932551319648094
114,7275054,Org,English,Yes,Medium,medium,No,0.001054934586722726,0.0007100945074202932,0.0020408163265306124,0.0,5.2381077097802615e-05,0.002932551319648094
115,143081,Org,English,Yes,Medium,short,No,0.035058870222809915,0.04698041274170785,5.714285714285715e-05,0.03571428571428571,0.0330929359355617,0.005865102639296188
116,10042529,Male,English,Yes,Medium,short,No,0.00027872218046053125,0.00018315117116407686,0.003428571428571429,0.0,2.619053854890131e-05,0.0
117,762017,Female,English,Yes,Medium,long,No,0.006258080644740307,0.0022741746944721993,0.00024489795918367346,0.03571428571428571,0.0011095264512534554,0.002932551319648094
118,248486,Male,English,Yes,Medium,long,No,0.014744320122237498,0.0032091937574941563,0.0001795918367346939,0.0,0.0016333372222314816,0.0
119,485893499,Female,English,Yes,Medium,short,No,0.1025556012021312,0.16374856015181188,0.0979591836734694,0.0,0.0008785735204131439,0.0
120,568881,Org,English,Yes,Medium,long,No,0.0026866516754461235,0.0034094704342447955,9.591836734693878e-05,0.07142857142857142,0.0330929359355617,0.0
121,14844789,Female,Hindi,Yes,High,medium,Yes,0.01877446473896396,0.0006732189658246691,0.015020408163265307,0.10714285714285714,5.2381077097802615e-05,0.0
122,18130367,Male,Hindi,Yes,High,long,No,0.07896451076275676,0.031578392879755654,0.02653061224489796,0.10714285714285714,0.00022619101474051132,0.0
123,7972992,Org,English,Yes,Medium,medium,No,0.04652676140861693,0.07895457895973723,0.0006530612244897959,0.03571428571428571,0.029883404484296393,0.02346041055718475
124,387603,Org,English,Yes,Medium,short,No,0.015596220610326018,0.03569352090152847,3.8775510204081634e-05,0.10714285714285714,0.09190498072614459,0.020527859237536656
125,3027816,Org,English,Yes,Medium,long,No,0.03964602669713272,0.05033671978412712,0.0007346938775510205,0.0,0.0068357305612632415,0.002932551319648094
